bin_label,bin_min_s,bin_max_s,count_onnx,count_meljs,rtfx_mean_onnx,rtfx_median_onnx,rtfx_mean_meljs,rtfx_median_meljs,pre_ms_mean_onnx,pre_ms_mean_meljs,enc_ms_mean_onnx,enc_ms_mean_meljs,dec_ms_mean_onnx,dec_ms_mean_meljs,pre_pct_onnx,pre_pct_meljs,enc_pct_onnx,enc_pct_meljs,dec_pct_onnx,dec_pct_meljs
0.83s - 1.61s,0.829,1.61,24,35,11.817083333333334,12.52,11.276000000000002,12.01,9.291666666666666,3.3200000000000003,85.32916666666667,86.10000000000001,25.5625,22.93714285714286,5.964318897242742,3.0867957909757346,71.7730700202992,75.54940233856105,21.996526364862646,21.15415346772986
1.61s - 2.17s,1.61,2.17,18,35,16.553333333333335,17.64,16.996000000000002,17.77,7.561111111111111,5.025714285714286,90.61666666666666,91.0142857142857,29.416666666666668,28.274285714285714,6.11709111295762,4.138315006740977,70.06491832332051,72.57354950064115,23.4917368984933,23.019926225959672
2.17s - 2.75s,2.17,2.75,29,29,18.505517241379312,19.86,20.49241379310345,21.06,9.362068965517244,6.603448275862069,94.69285714285714,81.1392857142857,38.72500000000001,36.37857142857143,6.5691369066031555,5.09158492680635,65.5179094579954,65.50053322456712,27.430082949988932,28.910326416772257
2.75s - 3.62s,2.75,3.62,21,29,22.924285714285716,22.79,24.20827586206897,25.11,10.452380952380954,7.917241379310345,82.86190476190477,82.53103448275861,43.82857142857142,41.941379310344836,7.629258681731477,5.98322144444133,60.82443948673273,62.55698774082853,31.215582415631854,31.130560992297532
3.62s - 5.26s,3.62,5.26,21,34,24.613809523809522,25.16,27.195588235294117,27.47,15.038095238095238,10.876470588235295,118.04,97.6970588235294,62.57000000000001,62.8735294117647,8.086168614336925,6.59645048625158,57.14072188122128,55.24458521083346,34.19620911007441,37.79393149838785
5.26s - 7.52s,5.26,7.52,14,37,34.40785714285714,34.225,35.48432432432433,36.4,26.87857142857143,15.51081081081081,88.67142857142858,89.32972972972973,83.69285714285714,79.51081081081081,13.444674109410789,8.401707813299724,44.38702327651773,48.555868244951796,41.77824908583889,42.61419322590379
7.52s - 10.46s,7.52,10.46,18,40,37.44611111111111,38.0,41.0,41.375,38.11666666666666,21.75,98.15,101.72749999999999,114.66666666666667,104.22749999999999,15.329715949400018,9.636046496407838,39.94718409488355,44.40214518946632,44.32293095360766,45.49628262684797
10.46s - 39.55s,10.46,39.55,20,31,44.447,44.019999999999996,45.794838709677414,46.82,59.94499999999999,36.41290322580646,114.83000000000001,111.09333333333333,166.26500000000001,165.7633333333333,17.359304901362258,11.185667283022136,33.91896156607369,35.76980878328986,48.29981402007938,52.63007802348424
